year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,121,Married,2,55,Graduate,FEMALE,Very happy,Moderately satisfied,56160.0,Ballot a
2016,122,Never married,0,52,High school,FEMALE,Very happy,Very satisfied,8775.0,Ballot c
2016,123,Never married,1,33,Bachelor's,FEMALE,Pretty happy,Moderately satisfied,-100.0,Ballot c
2016,124,Divorced,2,56,High school,MALE,Pretty happy,Very satisfied,56160.0,Ballot a
2016,125,Married,2,71,Graduate,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
2016,126,Never married,0,21,High school,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot b
2016,127,Married,3,49,High school,FEMALE,Very happy,Very satisfied,46800.0,Ballot a
2016,128,Never married,0,26,Bachelor's,MALE,Very happy,Very satisfied,38610.0,Ballot c
2016,129,Never married,0,33,Bachelor's,FEMALE,Pretty happy,Moderately satisfied,31590.0,Ballot b
2016,130,Married,0,36,Graduate,MALE,Pretty happy,Very satisfied,31590.0,Ballot a
2016,131,Widowed,0,68,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
2016,132,Never married,2,27,Associate/junior college,FEMALE,Pretty happy,A little dissatisfied,31590.0,Ballot a
2016,133,Never married,1,60,High school,FEMALE,Pretty happy,Moderately satisfied,2106.0,Ballot c
2016,134,Never married,0,48,High school,MALE,Very happy,Very satisfied,25740.0,Ballot a
2016,135,Married,3,47,High school,FEMALE,Not too happy,Moderately satisfied,21060.0,Ballot c
2016,136,Never married,0,36,Associate/junior college,FEMALE,Pretty happy,Very satisfied,-100.0,Ballot a
2016,137,Widowed,2,89 or older,High school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
2016,138,Separated,2,64,High school,FEMALE,Not too happy,.i:  Inapplicable,936.0,Ballot c
2016,139,Never married,0,38,Bachelor's,FEMALE,Very happy,.i:  Inapplicable,31590.0,Ballot a
2016,140,Widowed,1,62,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,141,Married,3,62,Bachelor's,FEMALE,Very happy,Very satisfied,-100.0,Ballot a
2016,142,Married,5,65,Associate/junior college,FEMALE,Very happy,Very satisfied,-100.0,Ballot c
2016,143,Married,2,60,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,144,Divorced,1,47,Bachelor's,FEMALE,Pretty happy,Moderately satisfied,-100.0,Ballot c
2016,145,Divorced,0,62,Associate/junior college,MALE,Pretty happy,Moderately satisfied,31590.0,Ballot b
2016,146,Married,2,51,Bachelor's,FEMALE,Very happy,A little dissatisfied,65520.0,Ballot b
2016,147,Married,2,43,Bachelor's,FEMALE,Pretty happy,A little dissatisfied,164382.03756,Ballot c
2016,148,Married,2,47,High school,MALE,Pretty happy,Moderately satisfied,164382.03756,Ballot b
2016,149,Divorced,1,57,High school,FEMALE,Pretty happy,Moderately satisfied,31590.0,Ballot b
2016,150,Never married,0,30,Bachelor's,MALE,Pretty happy,.i:  Inapplicable,17550.0,Ballot a
2016,151,Married,0,39,Graduate,MALE,Pretty happy,Very satisfied,21060.0,Ballot c
2016,152,Never married,0,37,Associate/junior college,FEMALE,Very happy,Moderately satisfied,15210.0,Ballot b
2016,153,Married,0,52,High school,FEMALE,Very happy,Very satisfied,-100.0,Ballot c
2016,154,Never married,0,61,Graduate,FEMALE,Not too happy,Very dissatisfied,8775.0,Ballot a
2016,155,Married,1,58,High school,MALE,Pretty happy,Moderately satisfied,25740.0,Ballot c
2016,156,Never married,0,31,Associate/junior college,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot a
2016,157,Married,2,52,Bachelor's,FEMALE,Pretty happy,Moderately satisfied,11115.0,Ballot c
2016,158,Married,2,46,Associate/junior college,FEMALE,Very happy,Very satisfied,-100.0,Ballot a
2016,159,Married,1,25,High school,FEMALE,Pretty happy,Moderately satisfied,21060.0,Ballot b
2016,160,Widowed,4,54,Less than high school,MALE,Very happy,Very satisfied,31590.0,Ballot a
2016,161,Divorced,1,33,High school,FEMALE,Very happy,Very satisfied,25740.0,Ballot b
2016,162,Married,1,33,Graduate,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot a
2016,163,Divorced,2,61,High school,FEMALE,Not too happy,Very dissatisfied,6435.0,Ballot c
2016,164,Widowed,4,65,.n:  No answer,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,165,Never married,0,53,High school,FEMALE,Not too happy,Very satisfied,-100.0,Ballot b
2016,166,Widowed,8 or more,66,Less than high school,FEMALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
2016,167,Never married,2,41,High school,FEMALE,Not too happy,Very satisfied,-100.0,Ballot c
2016,168,Divorced,2,57,High school,FEMALE,Pretty happy,A little dissatisfied,936.0,Ballot b
2016,169,Never married,0,50,High school,MALE,Pretty happy,Very satisfied,38610.0,Ballot c
2016,170,Married,4,75,High school,MALE,Not too happy,.i:  Inapplicable,-100.0,Ballot c
2016,171,Never married,3,22,Less than high school,FEMALE,Not too happy,Very dissatisfied,-100.0,Ballot b
2016,172,Never married,0,27,Less than high school,MALE,Pretty happy,Moderately satisfied,8775.0,Ballot c
2016,173,Separated,1,20,Less than high school,FEMALE,Pretty happy,Very satisfied,-100.0,Ballot b
2016,174,Divorced,0,55,Graduate,MALE,Pretty happy,Moderately satisfied,46800.0,Ballot c
2016,175,Never married,1,49,High school,FEMALE,Not too happy,Moderately satisfied,-100.0,Ballot b
2016,176,Divorced,1,51,High school,FEMALE,Pretty happy,Very satisfied,31590.0,Ballot a
2016,177,Separated,5,56,Bachelor's,MALE,Very happy,.i:  Inapplicable,38610.0,Ballot a
2016,178,Married,1,41,Graduate,FEMALE,Pretty happy,Very satisfied,-100.0,Ballot c
2016,179,Divorced,4,67,High school,MALE,Pretty happy,Very satisfied,21060.0,Ballot c
2016,180,Never married,4,38,High school,FEMALE,Pretty happy,.i:  Inapplicable,2574.0,Ballot a
2016,181,Widowed,1,76,Graduate,FEMALE,Not too happy,.i:  Inapplicable,17550.0,Ballot c
2016,182,Divorced,1,66,Associate/junior college,MALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
2016,183,Never married,0,84,Bachelor's,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,184,Never married,0,32,Less than high school,MALE,Not too happy,Moderately satisfied,-100.0,Ballot b
2016,185,Never married,2,46,Bachelor's,MALE,Pretty happy,Very satisfied,2106.0,Ballot c
2016,186,Never married,0,25,High school,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot b
2016,187,Married,1,67,Graduate,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,188,Married,2,34,High school,MALE,Pretty happy,.i:  Inapplicable,21060.0,Ballot a
2016,189,Married,3,29,Less than high school,FEMALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
2016,190,Never married,7,51,Less than high school,FEMALE,Pretty happy,Moderately satisfied,-100.0,Ballot b
2016,191,Never married,1,39,High school,FEMALE,Pretty happy,Moderately satisfied,7605.0,Ballot c
2016,192,Never married,2,39,Less than high school,FEMALE,Pretty happy,Moderately satisfied,8775.0,Ballot b
2016,193,Divorced,3,51,Less than high school,FEMALE,Very happy,Very satisfied,7605.0,Ballot c
2016,194,Married,3,40,Less than high school,FEMALE,Very happy,Moderately satisfied,11115.0,Ballot a
2016,195,Never married,4,32,Less than high school,MALE,Pretty happy,.i:  Inapplicable,8775.0,Ballot a
2016,196,Married,1,38,Associate/junior college,MALE,Very happy,Very satisfied,25740.0,Ballot b
2016,197,Never married,0,79,High school,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot c
2016,198,Never married,0,49,Bachelor's,MALE,Very happy,.i:  Inapplicable,46800.0,Ballot a
2016,199,Never married,0,22,Associate/junior college,MALE,Pretty happy,Moderately satisfied,1638.0,Ballot a
2016,200,Married,0,30,Bachelor's,MALE,Pretty happy,.i:  Inapplicable,46800.0,Ballot a
2016,201,Married,2,47,High school,MALE,Pretty happy,Very satisfied,164382.03756,Ballot a
2016,202,Separated,1,55,High school,MALE,Pretty happy,Very satisfied,46800.0,Ballot b
2016,203,Never married,0,30,Bachelor's,MALE,Very happy,Moderately satisfied,38610.0,Ballot b
2016,204,Never married,0,29,Bachelor's,MALE,Pretty happy,Moderately satisfied,25740.0,Ballot b
2016,205,Never married,0,37,Bachelor's,MALE,Very happy,Very satisfied,3042.0,Ballot c
2016,206,Never married,0,67,Graduate,FEMALE,Pretty happy,Very satisfied,9945.0,Ballot b
2016,207,Separated,0,38,Bachelor's,FEMALE,Pretty happy,.i:  Inapplicable,21060.0,Ballot a
2016,208,Widowed,0,81,High school,FEMALE,Not too happy,Very satisfied,-100.0,Ballot b
2016,209,Separated,0,35,Associate/junior college,MALE,Pretty happy,Moderately satisfied,2106.0,Ballot b
2016,210,Married,1,46,Graduate,MALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
