year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,146,married,2,51,bachelor's,female,very happy,a little dissatisfied,65520,ballot b
2016,147,married,2,43,bachelor's,female,pretty happy,a little dissatisfied,164382.03756,ballot c
2016,148,married,2,47,high school,male,pretty happy,moderately satisfied,164382.03756,ballot b
2016,149,divorced,1,57,high school,female,pretty happy,moderately satisfied,31590,ballot b
2016,150,never married,0,30,bachelor's,male,pretty happy,NA,17550,ballot a
2016,151,married,0,39,graduate,male,pretty happy,very satisfied,21060,ballot c
2016,152,never married,0,37,associate/junior college,female,very happy,moderately satisfied,15210,ballot b
2016,153,married,0,52,high school,female,very happy,very satisfied,NA,ballot c
2016,154,never married,0,61,graduate,female,not too happy,very dissatisfied,8775,ballot a
2016,155,married,1,58,high school,male,pretty happy,moderately satisfied,25740,ballot c
2016,156,never married,0,31,associate/junior college,male,very happy,NA,NA,ballot a
2016,157,married,2,52,bachelor's,female,pretty happy,moderately satisfied,11115,ballot c
2016,158,married,2,46,associate/junior college,female,very happy,very satisfied,NA,ballot a
2016,159,married,1,25,high school,female,pretty happy,moderately satisfied,21060,ballot b
2016,160,widowed,4,54,less than high school,male,very happy,very satisfied,31590,ballot a
2016,161,divorced,1,33,high school,female,very happy,very satisfied,25740,ballot b
2016,162,married,1,33,graduate,male,very happy,NA,NA,ballot a
2016,163,divorced,2,61,high school,female,not too happy,very dissatisfied,6435,ballot c
2016,164,widowed,4,65,NA,female,pretty happy,NA,NA,ballot a
2016,165,never married,0,53,high school,female,not too happy,very satisfied,NA,ballot b
2016,166,widowed,8,66,less than high school,female,not too happy,NA,NA,ballot a
2016,167,never married,2,41,high school,female,not too happy,very satisfied,NA,ballot c
2016,168,divorced,2,57,high school,female,pretty happy,a little dissatisfied,936,ballot b
2016,169,never married,0,50,high school,male,pretty happy,very satisfied,38610,ballot c
2016,170,married,4,75,high school,male,not too happy,NA,NA,ballot c
2016,171,never married,3,22,less than high school,female,not too happy,very dissatisfied,NA,ballot b
2016,172,never married,0,27,less than high school,male,pretty happy,moderately satisfied,8775,ballot c
2016,173,separated,1,20,less than high school,female,pretty happy,very satisfied,NA,ballot b
2016,174,divorced,0,55,graduate,male,pretty happy,moderately satisfied,46800,ballot c
2016,175,never married,1,49,high school,female,not too happy,moderately satisfied,NA,ballot b
2016,176,divorced,1,51,high school,female,pretty happy,very satisfied,31590,ballot a
2016,177,separated,5,56,bachelor's,male,very happy,NA,38610,ballot a
2016,178,married,1,41,graduate,female,pretty happy,very satisfied,NA,ballot c
2016,179,divorced,4,67,high school,male,pretty happy,very satisfied,21060,ballot c
2016,180,never married,4,38,high school,female,pretty happy,NA,2574,ballot a
2016,181,widowed,1,76,graduate,female,not too happy,NA,17550,ballot c
2016,182,divorced,1,66,associate/junior college,male,not too happy,NA,NA,ballot a
2016,183,never married,0,84,bachelor's,female,pretty happy,NA,NA,ballot c
2016,184,never married,0,32,less than high school,male,not too happy,moderately satisfied,NA,ballot b
2016,185,never married,2,46,bachelor's,male,pretty happy,very satisfied,2106,ballot c
2016,186,never married,0,25,high school,male,very happy,NA,NA,ballot b
2016,187,married,1,67,graduate,male,pretty happy,NA,NA,ballot c
2016,188,married,2,34,high school,male,pretty happy,NA,21060,ballot a
2016,189,married,3,29,less than high school,female,not too happy,NA,NA,ballot a
2016,190,never married,7,51,less than high school,female,pretty happy,moderately satisfied,NA,ballot b
2016,191,never married,1,39,high school,female,pretty happy,moderately satisfied,7605,ballot c
2016,192,never married,2,39,less than high school,female,pretty happy,moderately satisfied,8775,ballot b
2016,193,divorced,3,51,less than high school,female,very happy,very satisfied,7605,ballot c
2016,194,married,3,40,less than high school,female,very happy,moderately satisfied,11115,ballot a
